== Step 1: Skipped (translated_prompts.json exists or --skip-translate) ==
== Step 2: Running models (this can take a while) ==
=== Loading/using model: llama2 ===
[llama2] adv-001 (en) run 0 done
[llama2] adv-001 (en) run 1 done
[llama2] adv-001 (en) run 2 done
[llama2] adv-001 (hi) run 0 done
[llama2] adv-001 (hi) run 1 done
[llama2] adv-001 (hi) run 2 done
[llama2] adv-001 (zh) run 0 done
[llama2] adv-001 (zh) run 1 done
[llama2] adv-001 (zh) run 2 done
[llama2] adv-001 (ta) run 0 done
[llama2] adv-001 (ta) run 1 done
[llama2] adv-001 (ta) run 2 done
[llama2] adv-001 (ms) run 0 done
[llama2] adv-001 (ms) run 1 done
[llama2] adv-001 (ms) run 2 done
[llama2] adv-002 (en) run 0 done
[llama2] adv-002 (en) run 1 done
[llama2] adv-002 (en) run 2 done
[llama2] adv-002 (hi) run 0 done
[llama2] adv-002 (hi) run 1 done
[llama2] adv-002 (hi) run 2 done
[llama2] adv-002 (zh) run 0 done
[llama2] adv-002 (zh) run 1 done
[llama2] adv-002 (zh) run 2 done
[llama2] adv-002 (ta) run 0 done
[llama2] adv-002 (ta) run 1 done
[llama2] adv-002 (ta) run 2 done
[llama2] adv-002 (ms) run 0 done
[llama2] adv-002 (ms) run 1 done
[llama2] adv-002 (ms) run 2 done
[llama2] cyb-001 (en) run 0 done
[llama2] cyb-001 (en) run 1 done
[llama2] cyb-001 (en) run 2 done
[llama2] cyb-001 (hi) run 0 done
[llama2] cyb-001 (hi) run 1 done
[llama2] cyb-001 (hi) run 2 done
[llama2] cyb-001 (zh) run 0 done
[llama2] cyb-001 (zh) run 1 done
[llama2] cyb-001 (zh) run 2 done
[llama2] cyb-001 (ta) run 0 done
[llama2] cyb-001 (ta) run 1 done
[llama2] cyb-001 (ta) run 2 done
[llama2] cyb-001 (ms) run 0 done
[llama2] cyb-001 (ms) run 1 done
[llama2] cyb-001 (ms) run 2 done
[llama2] cyb-002 (en) run 0 done
[llama2] cyb-002 (en) run 1 done
[llama2] cyb-002 (en) run 2 done
[llama2] cyb-002 (hi) run 0 done
[llama2] cyb-002 (hi) run 1 done
[llama2] cyb-002 (hi) run 2 done
[llama2] cyb-002 (zh) run 0 done
[llama2] cyb-002 (zh) run 1 done
[llama2] cyb-002 (zh) run 2 done
[llama2] cyb-002 (ta) run 0 done
[llama2] cyb-002 (ta) run 1 done
[llama2] cyb-002 (ta) run 2 done
[llama2] cyb-002 (ms) run 0 done
[llama2] cyb-002 (ms) run 1 done
[llama2] cyb-002 (ms) run 2 done
[llama2] pri-001 (en) run 0 done
[llama2] pri-001 (en) run 1 done
[llama2] pri-001 (en) run 2 done
[llama2] pri-001 (hi) run 0 done
[llama2] pri-001 (hi) run 1 done
[llama2] pri-001 (hi) run 2 done
[llama2] pri-001 (zh) run 0 done
[llama2] pri-001 (zh) run 1 done
[llama2] pri-001 (zh) run 2 done
[llama2] pri-001 (ta) run 0 done
[llama2] pri-001 (ta) run 1 done
[llama2] pri-001 (ta) run 2 done
[llama2] pri-001 (ms) run 0 done
